player,year,draft_pick,height,wingspan,vertical,weight,agility,sprint
Kevon Looney,2015,30.0,81.25,87.5,35.13666666666666,222.0,11.33024774774775,3.299663677130045
Montrezl Harrell,2015,32.0,79.5,88.25,35.13666666666666,253.0,11.33024774774775,3.299663677130045
Jordan Mickey,2015,33.0,80.25,87.25,37.5,238.0,11.8,3.28
Anthony Brown,2015,34.0,80.5,83.25,34.5,211.0,11.06,3.18
Rakeem Christmas,2015,36.0,81.75,89.25,35.13666666666666,243.0,11.57,3.47
Richaun Holmes,2015,37.0,81.5,85.5,36.0,243.0,11.37,3.32
Pat Connaughton,2015,41.0,77.25,80.75,44.0,215.0,10.74,3.2
Olivier Hanlan,2015,42.0,76.25,78.5,34.0,186.0,11.36,3.25
Joseph Young,2015,43.0,74.0,77.0,40.5,182.0,10.74,3.25
Andrew Harrison,2015,44.0,77.5,81.0,33.0,213.0,11.16,3.34
Marcus Thornton,2015,45.0,74.75,79.75,43.0,177.0,10.96,3.02
Norman Powell,2015,46.0,76.25,82.75,40.5,215.0,10.76,3.2
Dakari Johnson,2015,48.0,83.75,86.0,25.0,265.0,11.5,3.62
Aaron White,2015,49.0,80.75,83.5,35.0,220.0,11.62,3.38
Tyler Harvey,2015,51.0,76.0,77.5,28.5,181.0,10.52,3.44
Branden Dawson,2015,56.0,78.75,83.0,34.5,230.0,12.37,3.2
J.P. Tokoto,2015,58.0,78.25,82.0,40.0,196.0,11.01,3.27
Willie Cauley-Stein,2015,6.0,84.5,87.0,35.13666666666666,242.0,11.33024774774775,3.299663677130045
Stanley Johnson,2015,8.0,78.5,83.5,35.13666666666666,242.0,11.33024774774775,3.299663677130045
Frank Kaminsky,2015,9.0,84.75,83.0,35.13666666666666,231.0,11.33024774774775,3.299663677130045
Thon Maker,2016,10.0,84.75,87.0,36.5,216.0,11.15,3.33
Taurean Prince,2016,12.0,79.75,83.5,36.0,220.0,10.96,3.24
Denzel Valentine,2016,14.0,77.75,82.75,32.0,210.0,10.51,3.46
Justin Jackson,2016,15.0,80.25,82.75,34.5,193.0,11.32,3.26
Wade Baldwin,2016,17.0,76.0,83.25,38.0,202.0,10.45,3.19
Henry Ellenson,2016,18.0,83.5,86.25,35.13666666666666,242.0,11.33024774774775,3.299663677130045
Malik Beasley,2016,19.0,76.5,79.0,35.13666666666666,190.0,11.33024774774775,3.299663677130045
Caris LeVert,2016,20.0,79.0,82.0,35.13666666666666,191.0,11.33024774774775,3.299663677130045
DeAndre Bembry,2016,21.0,77.75,81.25,38.0,207.0,10.9,3.17
Malachi Richardson,2016,22.0,78.25,84.0,38.0,200.0,10.56,3.33
Brice Johnson,2016,25.0,82.5,84.5,38.0,209.0,11.88,3.2
Caleb Swanigan,2016,26.0,80.5,87.5,29.0,247.0,12.8,3.299663677130045
Pascal Siakam,2016,27.0,81.5,87.25,36.5,227.0,11.25,3.41
Skal Labissiere,2016,28.0,83.75,86.5,35.13666666666666,216.0,11.33024774774775,3.299663677130045
Jaylen Brown,2016,3.0,78.75,83.75,35.13666666666666,223.0,11.33024774774775,3.299663677130045
Damian Jones,2016,30.0,83.5,87.75,37.0,244.0,11.35,3.2
Josh Hart,2016,30.0,77.5,80.5,38.5,204.0,11.15,3.2
Deyonta Davis,2016,31.0,82.5,86.5,35.13666666666666,237.0,11.33024774774775,3.299663677130045
Cheick Diallo,2016,33.0,81.0,88.5,35.0,219.0,11.24,3.26
Tyler Ulis,2016,34.0,70.0,74.0,38.0,149.0,10.8,3.2
Malcolm Brogdon,2016,36.0,77.5,82.5,35.5,223.0,10.77,3.31
Chinanu Onuaku,2016,37.0,82.0,86.75,33.5,245.0,11.65,3.5
Patrick McCaw,2016,38.0,78.75,82.0,38.0,181.0,11.01,3.3
Diamond Stone,2016,40.0,82.25,86.75,29.5,254.0,12.02,3.5
Stephen Zimmerman,2016,41.0,83.75,87.25,31.0,234.0,12.08,3.43
Isaiah Whitehead,2016,42.0,76.5,80.75,35.5,210.0,11.65,3.34
Zhou Qi,2016,43.0,86.25,91.75,32.0,218.0,11.27,3.46
Demetrius Jackson,2016,45.0,73.25,77.5,43.5,194.0,10.81,3.25
Jake Layman,2016,47.0,81.25,81.25,39.5,209.0,11.35,3.24
Michael Gbinije,2016,49.0,78.75,79.5,37.5,205.0,11.0,3.12
